Text Blob Polarity,Vader Polarity,confidence,sentiment,text
-0.45,-0.8814,1,negative,"@DavidRosler4 @OurViewpoint @ReverendWarnock @HerschelWalker @birdie80122 Did you know fake pastor @ReverendWarnock was ARRESTED too https://t.co/6KekAI8C4I WARNOCK is NOT a ""great actor"" and sleazy, despicable man.   Vote for @HerschelWalker"
-0.3,-0.3182,1,negative,"#Georgia #FarLeftRadical Democrat,  #RaphaelWarnock Spent over $61K in Campaign Funds (from Soros) to Pay Child Support which is #illegal https://t.co/DPv79OdxtA"
-0.35,-0.9076,1,negative,WORST Possible choice for Senator from Georgia. Democrat Raphael Warnock is facing numerous controversies as he approaches runoff race. Has threatened to EVICT POOR TENANTS who cannot pay $200 in rent. https://t.co/ORVgFWzNsp
0.0798611111111111,0.5965,0,positive,AP’s @JuliePace breaks down “dynamics” moving in favor of Democrat Raphael Warnock in Georgia: “One is the fact that this is not any more the decisive election for control of Senate…The other thing is just looking at these early votes numbers.” https://t.co/lcF0nJKquE https://t.co/z4rGZYIwox
0.2857142857142857,0.0,1,neutral,@GOP Democrat Raphael Warnock is the right man for Georgia https://t.co/6bKU3LRuSO @SenatorWarnock @TheDemocrats @POTUS :ballot_box_with_ballot::blue_heart::United_States::water_wave:
0.2,0.6437,1,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations How is this legal  https://t.co/E8F55pw8Nb"
0.2,0.6764,1,positive,"SO WHERE IS THE MONEY REALLY COMING FROM? EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/e4eOmLgZ28 via @gatewaypundit https://t.co/FtUmqUeuDD"
-0.45,-0.6369,1,negative,"Poll Shows Democrat Raphael Warnock Leading in Close Georgia Runoff Race https://t.co/24Q73m2a2p via @BreitbartNews   THIS is why I never believe polls. If you go outside Atlanta, you find out just how hated this slumlord IS."
0.8,0.8026,1,positive,"EXCLUSIVE: “Campaign Finance Mules” Identified in Georgia Senate Race – Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations.. the uniparty does not want Walker to win. If the senate is divided 50/50 that means"
0.0,0.6027,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/P3DZtiEYQM via @gatewaypundit WHY IS HE ALLOWED TO BE IN THIS RUN OFF? THIEF!:face_with_symbols_on_mouth:"
